Country,Both sexes,Female,Male,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Indonesia,2.6,1.2,4.0,161.7,165.95,197.125,212.725,221.52499999999998,220.5,238.20000000000002,249.525,243.775,238.2,210.04999999999998,162.375,2521.65
Iran,,,,167.35999999999999,174.02,200.72,221.44,288.58000000000004,330.76,333.64,327.1,297.76,257.56,203.06,171.78,2821.7
Iran (Islamic Republic of),5.1,2.8,7.5,,,,,,,,,,,,,
Iraq,4.7,2.4,7.3,192.2,203.3,244.9,255.0,300.7,348.0,347.2,353.4,315.0,272.8,213.0,195.3,3240.8
Ireland,8.9,3.6,14.3,59.0,75.0,109.0,160.0,195.0,179.0,164.0,157.0,129.0,103.0,71.0,53.0,1453.0
Israel,5.2,2.1,8.3,192.2,200.1,235.6,270.0,328.6,357.0,368.9,356.5,300.0,279.0,234.0,189.1,3311.0
Italy,4.3,2.1,6.7,111.25,130.0,171.5,196.25,247.5,279.5,318.0,291.25,225.0,180.75,117.75,100.75,2372.25
Ivory Coast,,,,233.8,219.24,224.85999999999999,207.94,218.76,166.76,140.9,122.5,144.48,204.16,219.8,218.11999999999998,2321.32
Jamaica,2.3,1.0,3.6,,,,,,,,,,,,,
Japan,12.2,6.9,17.5,131.74,135.14000000000001,163.42000000000002,184.8,190.24,149.9,147.2,181.26,139.54000000000002,150.26,130.85999999999999,129.44,1837.1200000000001
Jordan,2.0,0.9,3.0,,,,,,,,,,,,,
Kazakhstan,18.1,6.9,30.9,110.5,133.0,169.5,216.0,271.0,308.0,321.0,294.0,237.5,160.0,113.5,97.5,2431.5
Kenya,11.0,5.3,18.1,282.025,259.575,270.45,245.25,245.7,229.5,218.55,234.825,254.25,273.525,249.0,267.375,3030.025
Kiribati,30.6,9.5,53.6,,,,,,,,,,,,,
Kuwait,2.7,0.7,3.8,,,,,,,,,,,,,
Kyrgyzstan,8.3,3.5,13.5,,,,,,,,,,,,,
Lao People's Democratic Republic,6.0,3.5,8.6,,,,,,,,,,,,,
Latvia,16.1,4.6,29.0,31.0,62.0,127.0,183.0,264.0,288.0,264.0,229.0,153.0,93.0,39.0,22.0,1754.0
Lebanon,2.8,1.7,3.9,,,,,,,,,,,,,
Lesotho,87.5,34.6,146.9,,,,,,,,,,,,,
Liberia,7.4,5.5,9.4,,,,,,,,,,,,,
Libya,4.5,2.9,6.1,192.9,203.0,234.75,251.0,317.15,319.5,378.65,358.9,279.5,247.55,212.5,182.7,3178.1
Lithuania,20.2,6.2,36.1,32.0,57.0,121.0,179.0,252.0,246.0,260.0,237.0,154.0,95.0,35.0,23.0,1691.0
Luxembourg,8.6,5.4,11.8,43.0,82.0,118.0,165.0,208.0,210.0,232.5,208.0,159.0,108.5,57.0,43.0,1634.0
Madagascar,9.2,5.4,13.3,221.58333333333334,197.85,220.20000000000002,238.41666666666666,248.76666666666665,225.15,232.63333333333335,249.23333333333335,264.5,277.43333333333334,259.90000000000003,228.76666666666665,2864.433333333333
Malawi,10.6,3.3,20.0,173.6,164.96666666666667,196.33333333333334,210.0,243.86666666666665,240.0,252.0,281.06666666666666,288.0,298.6333333333333,251.0,196.33333333333334,2795.866666666667
Malaysia,5.8,2.4,9.0,,,,,,,,,,,,,
Maldives,2.8,0.9,4.1,,,,,,,,,,,,,
Mali,8.0,5.7,10.5,277.76666666666665,259.53333333333336,276.6666666666667,249.33333333333334,263.96666666666664,244.76666666666665,239.73333333333335,232.20000000000002,237.53333333333333,269.90000000000003,277.23333333333335,271.5333333333333,3099.866666666667
Malta,5.3,2.3,8.4,169.0,178.0,227.0,254.0,310.0,337.0,377.0,352.0,270.0,224.0,195.0,161.0,3054.0
Mauritania,5.5,3.9,7.4,269.0,249.0,301.0,303.0,317.5,293.5,273.0,273.0,263.5,261.5,262.5,265.5,3332.5
Mauritius,8.8,2.5,15.0,,,,,,,,,,,,,
Mexico,5.3,2.2,8.7,187.5,201.75,246.5,233.0,256.75,232.0,241.0,230.25,195.25,196.5,199.5,175.75,2596.25
Micronesia (Federated States of),29.0,13.2,44.3,,,,,,,,,,,,,
Moldova,,,,75.0,80.0,125.0,187.0,254.0,283.0,299.0,295.0,226.0,169.0,75.0,58.0,2126.0
Monaco,,,,149.8,158.9,185.5,210.0,248.1,281.1,329.3,296.7,224.7,199.0,155.2,136.5,2575.0
Mongolia,18.0,5.6,31.1,179.1,204.8,265.2,262.5,299.3,269.0,249.3,258.3,245.7,227.5,177.4,156.4,2791.5
Montenegro,16.2,7.9,25.4,123.0,126.0,170.0,194.0,251.0,276.0,340.0,314.0,252.0,201.0,126.0,109.0,2481.0
Morocco,7.3,4.7,10.1,217.23333333333335,213.4333333333333,259.23333333333335,275.06666666666666,304.1333333333333,312.6666666666667,322.90000000000003,305.43333333333334,263.8,250.6,214.96666666666667,216.0,3155.4666666666667
Mozambique,23.2,8.9,42.6,248.0,226.0,248.0,240.0,248.0,240.0,248.0,248.0,248.0,217.0,210.0,217.0,2838.0
Myanmar,3.0,1.1,5.1,,,,,,,,,,,,,
Namibia,13.5,4.4,24.9,320.5,277.0,297.0,289.5,307.0,298.0,315.5,332.0,320.0,331.0,322.5,316.5,3737.5
Nepal,9.8,2.9,18.6,,,,,,,,,,,,,
Netherlands,9.3,6.1,12.5,63.0,88.0,126.0,183.0,222.0,206.0,217.0,197.0,139.0,109.0,62.0,51.0,1662.0
New Zealand,10.3,5.4,15.4,218.275,187.1,176.85,148.15,126.875,106.4,118.725,137.825,153.8,184.0,195.275,200.675,1953.925
Nicaragua,4.7,1.9,7.8,263.5,254.2,291.4,276.0,229.4,186.0,151.9,195.3,210.0,223.2,231.0,248.0,2759.9
Niger,10.1,6.4,14.1,297.6,263.2,269.7,252.0,279.0,267.0,257.3,235.6,235.6,282.6,282.0,279.0,3203.2
Nigeria,6.9,3.8,10.1,252.26,238.7,241.11999999999998,224.6,231.94,207.0,171.04000000000002,149.5,181.8,241.88000000000002,260.4,265.24,2669.08
North Korea,,,,184.0,197.0,231.0,237.0,263.0,229.0,181.0,204.0,222.0,214.0,165.0,165.0,2492.0
North Macedonia,7.2,3.5,11.0,87.0,113.0,161.0,198.0,245.0,276.0,323.0,305.0,248.0,188.0,115.0,80.0,2339.0
Norway,9.9,6.3,13.4,20.666666666666668,54.666666666666664,110.66666666666667,161.66666666666666,208.0,220.0,206.0,175.66666666666666,107.33333333333333,65.0,28.0,15.666666666666666,1373.3333333333333
Oman,4.5,1.1,6.4,268.6,244.8,278.3,292.5,347.4,325.7,277.7,278.6,303.9,316.9,291.9,267.0,3493.3
Pakistan,9.8,4.8,14.6,239.53333333333333,224.78333333333333,249.9666666666667,275.6666666666667,314.06666666666666,275.93333333333334,231.86666666666667,231.9,259.4666666666667,293.46666666666664,270.6333333333334,244.53333333333333,3108.5166666666664
